author_id,year,treat,log_us_federal_amount,log_us_amount,log_all_amount,log_us_federal_grant_count,log_us_grant_count,log_all_grant_count,reference_overlap,word2vec_topic_exploration_30,concept_pivot_new_share_01,topic_change,career_age,log_paper_count,log_cf,log_all_us_collaborators_count,ethnically_chinese,non_ethnically_chinese,high_list_related_field,low_list_related_field,junior_scientist,senior_scientist
10235,2020,0,11.858995,11.858995,11.858995,1.0986123,1.0986123,1.0986123,0.37817642,0.16369545,0.66863906,0.34316322,16,1.9459101,0.4365319,2.0794415,0,1,0,1,1,0
10235,2021,0,12.303155,12.303155,12.303155,1.3862944,1.3862944,1.3862944,0.53325367,0.07495223,0.62893081,0.36651945,17,1.3862944,0.53589517,1.6094379,0,1,0,1,1,0
10235,2022,0,13.448979,13.448979,13.448979,1.6094379,1.6094379,1.6094379,0.53308058,0.072722599,0.59162301,0.50135738,18,1.6094379,0.43236047,1.0986123,0,1,0,1,1,0
10235,2023,0,13.448979,13.448979,13.448979,1.6094379,1.6094379,1.6094379,0.56381053,,,0.24883755,19,2.0794415,1.1329641,2.8903718,0,1,0,1,1,0
10236,2014,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.28989071,0.13000096,0.52852851,0.72868061,27,2.7080503,0.95747608,3.9702919,0,1,0,1,0,1
10236,2015,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.38334936,0.14738928,0.52127659,0.70189774,28,2.7080503,0.77160907,4.3944492,0,1,0,1,0,1
10236,2016,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.22781214,0.13360108,0.6630978,0.81465,29,3.4965076,0.58419245,4.59512,0,1,0,1,0,1
10236,2017,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.28518796,0.1396724,0.64378107,0.83066499,30,3.2958369,0.56751364,4.4543471,0,1,0,1,0,1
10236,2018,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.20933825,0.14749183,0.63073111,0.81616151,31,3.0910425,0.76716894,4.2341065,0,1,0,1,0,1
10236,2019,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.20405702,0.13569629,0.44004944,0.76974958,32,3.0445225,0.52596915,4.3694477,0,1,0,1,0,1
10236,2020,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.29254338,0.12164883,0.52199411,0.79950744,33,3.1780539,0.49006894,4.6051702,0,1,0,1,0,1
10236,2021,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.17315416,0.12202782,0.5370177,0.80729282,34,3.1780539,0.42180991,4.2766662,0,1,0,1,0,1
10236,2022,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.31848267,0.12066653,0.58067542,0.78188819,35,3.1780539,0.62483174,4.5108595,0,1,0,1,0,1
10236,2023,0,11.708074,11.708074,11.708074,1.0986123,1.0986123,1.0986123,0.34417009,0.1027161,0.40397352,0.80979729,36,3.3672957,0.70568484,4.7535901,0,1,0,1,0,1
10237,2014,0,13.055214,13.055214,13.055214,1.0986123,1.0986123,1.0986123,0.12295898,0.1539568,0.64705884,0.70704079,23,1.3862944,0.57181841,1.9459101,0,1,1,0,0,1
10237,2015,0,12.44105,12.44105,12.44105,0.69314718,0.69314718,0.69314718,0.3773585,0.091490641,0.5754717,0.24995613,24,1.0986123,0.35726026,1.6094379,0,1,1,0,0,1
10237,2016,0,12.44105,12.44105,12.44105,0.69314718,0.69314718,0.69314718,,,,,25,0.0,0.0,0.0,0,1,1,0,0,1
10237,2017,0,12.44105,12.44105,12.44105,0.69314718,0.69314718,0.69314718,0.21590909,0.11710671,0.66433567,0.60835457,26,1.3862944,0.67444867,2.8332133,0,1,1,0,0,1
10237,2018,0,12.44105,12.44105,12.44105,0.69314718,0.69314718,0.69314718,,,,,27,0.0,0.0,0.0,0,1,1,0,0,1
10237,2019,0,12.44105,12.44105,12.44105,0.69314718,0.69314718,0.69314718,0.14916459,0.15030195,0.67015707,0.35949811,28,1.3862944,1.3252738,2.1972246,0,1,1,0,0,1
10237,2020,0,12.44105,12.44105,12.44105,0.69314718,0.69314718,0.69314718,0.29156712,0.16637801,0.70391059,0.41497013,29,1.3862944,0.33042541,2.8332133,0,1,1,0,0,1
10237,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,30,0.0,0.0,0.0,0,1,1,0,0,1
10237,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18125001,0.14910012,0.72727275,0.57748324,31,1.0986123,0.1419763,2.7080503,0,1,1,0,0,1
10237,2023,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,32,0.0,0.0,0.0,0,1,1,0,0,1
10238,2014,0,12.767095,12.767095,12.767095,1.3862944,1.3862944,1.3862944,0.58708721,0.17527191,0.52881843,0.48710674,27,2.8903718,1.1475134,3.6888795,0,1,1,0,0,1
10238,2015,0,12.767095,12.767095,12.767095,1.3862944,1.3862944,1.3862944,0.59015775,0.16929357,0.53966188,0.53694212,28,3.0910425,1.0456014,3.2188759,0,1,1,0,0,1
10238,2016,0,12.38582,12.38582,12.38582,1.0986123,1.0986123,1.0986123,0.53644478,0.18855262,0.59538275,0.55896086,29,3.2580965,0.83794242,3.5263605,0,1,1,0,0,1
10238,2017,0,13.065983,13.065983,13.065983,1.3862944,1.3862944,1.3862944,0.59573114,0.1713288,0.58354115,0.53972989,30,3.0445225,0.91029394,3.9702919,0,1,1,0,0,1
10238,2018,0,13.464647,13.464647,13.464647,1.6094379,1.6094379,1.6094379,0.52345937,0.14509071,0.62885463,0.5696407,31,2.9444389,1.387363,3.5553482,0,1,1,0,0,1
10238,2019,0,13.049143,13.049143,13.049143,1.0986123,1.0986123,1.0986123,0.54592305,0.16377567,0.47153285,0.48805544,32,2.8332133,0.89491451,3.3672957,0,1,1,0,0,1
