="",="Federal: Ethnically Chinese scientists",="",="",="",="Federal: Non-ethnically Chinese scientists",="",="",="",="Federal: High list-related fields",="",="",="",="Federal: Low list-related fields",="",="",="",="Federal: Junior scientists",="",="",="",="Federal: Senior scientists",="",="",="",="U.S.: Ethnically Chinese scientists",="",="",="",="U.S.: Non-ethnically Chinese scientists",="",="",="",="U.S.: High list-related fields",="",="",="",="U.S.: Low list-related fields",="",="",="",="U.S.: Junior scientists",="",="",="",="U.S.: Senior scientists",="",="",=""
="",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95",="b",="p",="min95",="max95"
="did_topic",="0.584",="0.254",="-0.420",="1.588",="0.779",="0.021",="0.118",="1.440",="-0.134",="0.773",="-1.046",="0.777",="1.148",="0.001",="0.488",="1.807",="0.940",="0.023",="0.130",="1.751",="0.210",="0.550",="-0.478",="0.897",="0.637",="0.211",="-0.361",="1.635",="0.826",="0.014",="0.167",="1.485",="-0.091",="0.842",="-0.993",="0.810",="1.185",="0.000",="0.525",="1.845",="0.976",="0.018",="0.169",="1.783",="0.245",="0.483",="-0.440",="0.930"
="N",="18096",="",="",="",="108577",="",="",="",="34072",="",="",="",="92601",="",="",="",="61688",="",="",="",="64985",="",="",="",="18096",="",="",="",="108577",="",="",="",="34072",="",="",="",="92601",="",="",="",="61688",="",="",="",="64985",="",="",=""
